condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates,continued_after_choice,observation_distance_mm,observation_end_s,termination_reason
dan_silenced,81,A,True,1.8551000000000002,44.14684213533162,left,3859339721,2283086162,28.489616303933666,-2.891581622314323,0.0,0.5705125072939897,False,20000,500,True,47.53019674277327,2.0,test_window_complete
dan_silenced,82,A,True,1.2292,29.724861810171454,right,1045761623,2891344451,25.315222808054777,9.689661123148586,0.0,0.5781839811403487,False,20000,500,True,47.86107934123396,2.0,test_window_complete
dan_silenced,83,A,True,0.863,21.077055036468344,left,129141916,874976044,28.446528203859064,-1.654863324443711,0.0,0.562901097093775,False,20000,500,True,47.58816452767249,2.0,test_window_complete
dan_silenced,84,A,True,1.3923,33.4558119118425,right,1358304359,2431437251,27.880485693108994,6.216946019292242,0.0,0.5597194534168044,False,20000,500,True,47.86875167970649,2.0,test_window_complete
dan_silenced,85,B,True,0.8899,21.69532800054421,right,1160040151,1246620523,28.097211418219313,-4.403061975265082,0.0,0.5472199309224407,False,20000,500,True,47.73841251108098,2.0,test_window_complete
dan_silenced,86,A,True,1.0288000000000002,24.987769285383877,left,3319902823,1794939957,28.401852024334424,-2.521386392941085,0.0,0.5741763234784927,False,20000,500,True,47.518169520299814,2.0,test_window_complete
dan_silenced,87,B,True,1.7737,42.42893597299852,right,1520562430,4263963038,28.631665264506143,-2.7145568720040734,0.0,0.532677521626106,False,20000,500,True,47.67637644499205,2.0,test_window_complete
dan_silenced,88,B,True,0.9239,22.434293807181884,right,1977745978,2277999520,24.695727805434345,-12.65594230494013,0.0,0.5833393351458466,False,20000,500,True,48.061372420309056,2.0,test_window_complete
dan_silenced,89,A,True,0.8607,21.042140744374922,left,2865872142,1793865271,28.514481966469543,-2.895291083876233,0.0,0.5555060241427273,False,20000,500,True,47.63829336030939,2.0,test_window_complete
dan_silenced,90,A,True,1.1937,28.834568379854023,left,3272529857,3987542055,28.531057893462712,-0.9383111517676174,0.0,0.5789711386701545,False,20000,500,True,47.50726232632951,2.0,test_window_complete
dan_silenced,91,B,True,0.8702000000000001,21.30632566839524,right,3267188114,459195337,27.33707550524098,-8.999821121407601,0.0,0.5799439559761485,False,20000,500,True,47.94957422394639,2.0,test_window_complete
dan_silenced,92,B,True,0.8605,21.161668232690985,right,2665928188,1979079933,27.87617357017484,-5.290198189075957,0.0,0.5609998786515594,False,20000,500,True,47.838402581486655,2.0,test_window_complete
dan_silenced,93,A,True,0.8982,21.97131826800493,right,3587363441,3826631231,26.397152748426432,10.008971904286229,0.0,0.5589198135368019,False,20000,500,True,47.9602979179957,2.0,test_window_complete
dan_silenced,94,B,True,0.8934000000000001,21.76416964439042,right,366268514,3484850979,19.68189915019161,-17.727807193064937,0.0,0.5687209835757001,False,20000,500,True,47.67867104028161,2.0,test_window_complete
dan_silenced,95,none,False,,47.69569546714764,right,441034353,3911080589,27.800602830080027,-2.4144967688914316,0.0,0.5788117415004493,False,20000,500,True,47.69569546714764,2.0,test_window_complete
dan_silenced,96,A,True,1.441,34.57110649041563,left,1514530970,2063034652,28.10354566318956,-5.071389133319443,0.0,0.5213664486318775,False,20000,500,True,47.71828531548649,2.0,test_window_complete
dan_silenced,97,B,True,1.185,28.55581245379619,right,801634323,869938001,24.667948656014612,-11.177833201184834,0.0,0.5312159920359546,False,20000,500,True,47.798597816575345,2.0,test_window_complete
dan_silenced,98,B,True,0.9217000000000001,22.346606270594037,right,3748907106,411485570,24.22069759687967,-13.407357006657584,0.0,0.5398923653076194,False,20000,500,True,47.951070523891836,2.0,test_window_complete
dan_silenced,99,none,False,,47.5139422143062,right,2992951274,3925740632,28.238423364041175,-0.03783591917051683,0.0,0.5458431038198873,False,20000,500,True,47.5139422143062,2.0,test_window_complete
paired,0,B,True,0.8779,21.457817953585494,right,3329053876,3645748255,26.540728052837977,-9.93508667961912,0.0,0.555733971191482,False,20000,500,True,47.8867813336471,2.0,test_window_complete
paired,1,B,True,0.9005000000000001,22.065575983190108,right,2134191843,3792606954,27.418885279359344,-3.3933978019945816,0.0,0.5372747851975769,False,20000,500,True,47.733721052990845,2.0,test_window_complete
paired,2,B,True,0.8926000000000001,21.804636952822793,right,2436437895,1151155471,28.141217661446664,-4.744746496534281,0.0,0.544927240896571,False,20000,500,True,47.65479901940655,2.0,test_window_complete
paired,3,none,False,,47.51528715052341,right,13771258,2682531787,28.7381590728562,1.6727116538129478,0.0,0.55400211871458,False,20000,500,True,47.51528715052341,2.0,test_window_complete
paired,4,B,True,1.3073000000000001,31.37459610007294,right,1462229373,3921964068,14.120960096892004,-21.635168537833998,0.0,0.5450723061840478,False,20000,500,True,47.69705550322078,2.0,test_window_complete
paired,5,B,True,0.8695,21.2690183529181,right,2248537184,3855881369,26.67625635325373,-10.196855513166897,0.0,0.5546511998616763,False,20000,500,True,47.632160680979766,2.0,test_window_complete
paired,6,B,True,0.8969,21.965796403843882,left,2188516665,429466934,25.902317716628414,9.483080485575979,0.0,0.5580886745442423,False,20000,500,True,47.84214734727691,2.0,test_window_complete
paired,7,A,True,0.9057000000000001,22.16284107440634,right,2737586632,4072755056,24.802725736101564,13.391974452624101,0.0,0.5802506557125003,False,20000,500,True,47.8521094553198,2.0,test_window_complete
paired,8,A,True,1.5202,36.457267759288136,left,1636764939,2234664573,28.099564800613965,-5.0192549374964,0.0,0.5392199618385041,False,20000,500,True,47.711240458198425,2.0,test_window_complete
paired,9,B,True,1.8094000000000001,43.07102376242549,left,4029204688,2943480381,26.008315650176982,5.1219804392631785,0.0,0.5384491948334147,False,20000,500,True,47.54057583042023,2.0,test_window_complete
paired,10,B,True,0.8914000000000001,21.54790886502,right,2052318847,3610168554,18.600946945213472,-17.171378847589878,0.0,0.5552478378830252,False,20000,500,True,47.52145023777213,2.0,test_window_complete
paired,11,B,True,0.8692000000000001,21.25073627111482,right,754147613,4083946371,27.140516341503417,-9.01954210391969,0.0,0.5248138792215905,False,20000,500,True,47.58455530008106,2.0,test_window_complete
paired,12,A,True,1.2776,30.80865762287246,left,2638278883,2512852426,27.581986826824526,-6.0215953045857145,0.0,0.554333564300758,False,20000,500,True,47.609342389687136,2.0,test_window_complete
paired,13,A,True,0.8826,21.58309342523375,left,100706267,2334542786,27.956845274368774,-3.1789241543801303,0.0,0.5451441007716141,False,20000,500,True,47.787535326420624,2.0,test_window_complete
paired,14,A,True,0.9806,23.88342426541037,right,3282634134,2195313851,27.7603949405966,7.219145604708372,0.0,0.5515219827612873,False,20000,500,True,47.70297955152516,2.0,test_window_complete
paired,15,B,True,1.0638,25.799487737497522,left,2546732002,2411233229,28.505475347217025,2.5814877043507507,0.0,0.540127905796494,False,20000,500,True,47.669755728051456,2.0,test_window_complete
paired,16,none,False,,47.65646404476543,right,3659993424,1140446677,28.606833165633677,0.07724774098515355,0.0,0.5452407739475033,False,20000,500,True,47.65646404476543,2.0,test_window_complete
paired,17,A,True,0.8832000000000001,21.60765254318744,left,3998299522,3045367934,27.522318607911927,-3.7043488064704535,0.0,0.5813406824482824,False,20000,500,True,47.555885098648524,2.0,test_window_complete
paired,18,B,True,0.9637,23.382262708352243,left,569373386,2318598388,25.300103900812328,11.282058263572376,0.0,0.5552669360674545,False,20000,500,True,48.05150888921252,2.0,test_window_complete
paired,19,B,True,0.8872,21.581039868550878,right,3274451997,1847994383,27.898309317288575,-6.246074921621376,0.0,0.5914033653870624,False,20000,500,True,47.63259936652185,2.0,test_window_complete
paired,20,B,True,1.1021,26.51959710806492,right,2919912252,3532647606,28.176338560682662,-3.1654496698728543,0.0,0.5592254166558642,False,20000,500,True,47.41928619199404,2.0,test_window_complete
paired,21,B,True,1.1463,27.75937659388058,left,4058920394,3253952273,27.551960896645856,6.848274325214262,0.0,0.5555426173946998,False,20000,500,True,47.71595011873913,2.0,test_window_complete
paired,22,A,True,0.9478000000000001,22.812495600621673,right,2123970655,3662084313,26.241794921816275,10.511702636713157,0.0,0.5939279763898493,False,20000,500,True,47.14487878222704,2.0,test_window_complete
paired,23,B,True,1.1526,27.946826763524864,left,3415289622,1290198544,26.436423722635734,9.150552353326,0.0,0.530937142209273,False,20000,500,True,47.33948889314093,2.0,test_window_complete
paired,24,B,True,1.5056,36.108554496889816,right,1910202036,720826952,25.12144840797996,-8.083791194850718,0.0,0.556862065708038,False,20000,500,True,47.92703890965305,2.0,test_window_complete
paired,25,B,True,0.9344,22.82060767605378,left,3947137033,3554254871,24.833837082976014,13.083023865853995,0.0,0.5390135651561884,False,20000,500,True,48.188604361774814,2.0,test_window_complete
paired,26,A,True,1.0687,25.986448516182254,right,1396475382,2772708567,28.431764151821916,4.09205915988923,0.0,0.5634243707563035,False,20000,500,True,47.64594080125094,2.0,test_window_complete
paired,27,B,True,0.8594,21.07018376410533,right,3420411494,2524977041,27.577818809332225,-8.289760783155776,0.0,0.5449820982536578,False,20000,500,True,47.89098084381694,2.0,test_window_complete
paired,28,none,False,,47.39279338161713,right,3049812762,1457771103,28.57480511470573,-0.3141126598037529,0.0,0.5482539254157259,False,20000,500,True,47.39279338161713,2.0,test_window_complete
paired,29,B,True,0.9731000000000001,23.584214407597848,right,3459555230,725354768,15.779416296027065,-20.577634944127354,0.0,0.5678496986234219,False,20000,500,True,47.06268050730133,2.0,test_window_complete
paired,30,B,True,0.9255,22.686132303131313,left,2446441635,2160239723,25.64165100356507,12.635310062385049,0.0,0.5582896971703027,False,20000,500,True,48.12876699940768,2.0,test_window_complete
paired,31,A,True,0.921,22.489073618796354,right,730038600,3248186979,26.70631305016059,9.855389107989659,0.0,0.565635450905584,False,20000,500,True,47.94754492202084,2.0,test_window_complete
paired,32,B,True,1.736,41.407911969079244,left,3616012249,3212606671,28.372005008759718,3.4984889612944268,0.0,0.5737118371509545,False,20000,500,True,47.61818144882776,2.0,test_window_complete
paired,33,B,True,0.9332,22.70755534722668,right,2600025322,4248454044,27.308011552391207,-8.245125946593365,0.0,0.5465790391937904,False,20000,500,True,47.743892171990524,2.0,test_window_complete
paired,34,B,True,1.1091,26.89086121837508,right,4161493998,4137236358,27.62269525534521,-7.414468628499279,0.0,0.5486626363061716,False,20000,500,True,47.880333322334515,2.0,test_window_complete
paired,35,B,True,1.0471000000000001,25.311464021880976,right,622810370,2418480088,23.235788814348414,-15.68313823009928,0.0,0.5303756275048461,False,20000,500,True,47.88941931956533,2.0,test_window_complete
paired,36,B,True,0.8649,21.11698061755892,right,3205717296,1725745693,25.051975067540596,-12.399075270346778,0.0,0.5826525029520302,False,20000,500,True,47.39548159727062,2.0,test_window_complete
paired,37,A,True,0.8939,21.88921664992499,right,2641484167,2232530563,27.08197891367831,-0.8351619448799119,0.0,0.5516590205216595,False,20000,500,True,47.65154184856845,2.0,test_window_complete
paired,38,none,False,,47.52892845071605,right,485281044,4041841091,28.819434901168382,-1.0082299456559585,0.0,0.5895689036686186,False,20000,500,True,47.52892845071605,2.0,test_window_complete
paired,39,B,True,1.0481,25.57775634878496,right,1220856037,1985799328,23.456672290240363,-16.244295078194778,0.0,0.5278405390315237,False,20000,500,True,48.02914876855027,2.0,test_window_complete
paired,40,B,True,1.2983,31.154112712423267,left,2712757873,3806212997,18.03794859101392,12.346537962501314,0.0,0.551913458203127,False,20000,500,True,47.51285886727449,2.0,test_window_complete
