condition,fly_id,choice,chose_b,odor_b_side,latency_s,distance,completed,weight_a,weight_b,random_seed
paired,42,B,True,left,15.350000000000001,2.197975126769076,True,0.0,0.893941048,3789971399404313686
paired,43,B,True,right,19.650000000000002,2.217144844235911,True,0.0,0.893941048,10687319911480645469
paired,44,B,True,right,21.0,2.1363694220820713,False,0.0,0.893941048,5917073311143622113
paired,45,B,True,right,17.3,2.20159107424322,True,0.0,0.893941048,1617745965600182448
paired,46,B,True,right,17.650000000000002,2.2565140018137844,True,0.0,0.893941048,3049341788450203582
paired,47,B,True,right,16.0,2.134562261450005,True,0.0,0.893941048,12908857692461806068
paired,48,B,True,left,21.0,2.1407840119602106,False,0.0,0.893941048,6248012175455339231
paired,49,B,True,right,18.3,2.164486770653284,True,0.0,0.893941048,1066111462966999955
paired,50,B,True,left,20.5,2.281558903947903,True,0.0,0.893941048,5155986028469057036
paired,51,B,True,right,16.150000000000002,2.210370895923538,True,0.0,0.893941048,1947373060000669441
paired,52,B,True,right,16.400000000000002,2.140943546640957,True,0.0,0.893941048,6740729458247299701
paired,53,B,True,right,20.8,2.3079454705590883,True,0.0,0.893941048,10814402551325381334
paired,54,B,True,right,17.6,2.145839883551393,True,0.0,0.893941048,7451784316150687819
paired,55,B,True,left,15.700000000000001,2.2067290584972308,True,0.0,0.893941048,5484849919824585339
paired,56,B,True,left,17.1,2.146424409046328,True,0.0,0.893941048,1051447122812520933
paired,57,B,True,left,18.75,2.2183365365463685,True,0.0,0.893941048,7144280601716893647
paired,58,B,True,left,20.75,2.434208641411749,True,0.0,0.893941048,3997635544457138178
paired,59,B,True,left,19.05,2.3260294893163365,True,0.0,0.893941048,15981789674161263335
paired,60,B,True,right,20.150000000000002,2.2887222060926975,True,0.0,0.893941048,9843201043402837908
paired,61,B,True,left,17.85,2.233114832850879,True,0.0,0.893941048,16779891357412269493
paired,62,B,True,right,20.25,2.1566242986742274,True,0.0,0.893941048,14586268933963385426
paired,63,B,True,left,17.5,2.2873572653732697,True,0.0,0.893941048,7324889000142171922
paired,64,B,True,left,21.0,2.2224512832008085,False,0.0,0.893941048,16646428008537813812
paired,65,B,True,left,16.3,2.279754173513124,True,0.0,0.893941048,8878969219894094446
paired,66,B,True,left,18.2,2.3166560654563213,True,0.0,0.893941048,6049677530118019694
paired,67,B,True,left,15.15,2.218447934842543,True,0.0,0.893941048,14814607355949958633
paired,68,B,True,right,19.55,2.1970258761634707,True,0.0,0.893941048,5928708819605869762
paired,69,B,True,right,19.05,2.1702081017552803,True,0.0,0.893941048,4431213594336862938
paired,70,B,True,left,19.200000000000003,2.253433395736792,True,0.0,0.893941048,3795267950493036257
paired,71,B,True,left,17.400000000000002,2.2701538214952293,True,0.0,0.893941048,11861430707658583943
paired,72,B,True,left,18.400000000000002,2.2587467401216044,True,0.0,0.893941048,3017312014981980352
paired,73,B,True,left,17.8,2.169839328206153,True,0.0,0.893941048,16158089825948526269
paired,74,B,True,left,16.6,2.1182041474663267,True,0.0,0.893941048,15227925146005207162
paired,75,B,True,right,18.3,2.2556159734532057,True,0.0,0.893941048,7398401011500702773
paired,76,B,True,left,19.0,2.1953269055128244,True,0.0,0.893941048,14174336998453800652
paired,77,B,True,left,17.25,2.327637227928132,True,0.0,0.893941048,10977658105784587982
paired,78,B,True,right,19.35,2.145843796490114,True,0.0,0.893941048,7876217483267139534
paired,79,B,True,right,19.75,2.364153501161654,True,0.0,0.893941048,14213627766018722585
paired,80,B,True,left,18.1,2.197331900304823,True,0.0,0.893941048,9005178702209824447
