fly_id,session,condition,weight_a,weight_b
42,3,paired,0.0,0.893941048
43,0,paired,0.0,0.0
43,1,paired,0.0,0.55
43,2,paired,0.0,0.78958
43,3,paired,0.0,0.893941048
44,0,paired,0.0,0.0
44,1,paired,0.0,0.55
44,2,paired,0.0,0.78958
44,3,paired,0.0,0.893941048
45,0,paired,0.0,0.0
45,1,paired,0.0,0.55
45,2,paired,0.0,0.78958
45,3,paired,0.0,0.893941048
46,0,paired,0.0,0.0
46,1,paired,0.0,0.55
46,2,paired,0.0,0.78958
46,3,paired,0.0,0.893941048
47,0,paired,0.0,0.0
47,1,paired,0.0,0.55
47,2,paired,0.0,0.78958
47,3,paired,0.0,0.893941048
48,0,paired,0.0,0.0
48,1,paired,0.0,0.55
48,2,paired,0.0,0.78958
48,3,paired,0.0,0.893941048
49,0,paired,0.0,0.0
49,1,paired,0.0,0.55
49,2,paired,0.0,0.78958
49,3,paired,0.0,0.893941048
50,0,paired,0.0,0.0
50,1,paired,0.0,0.55
50,2,paired,0.0,0.78958
50,3,paired,0.0,0.893941048
51,0,paired,0.0,0.0
51,1,paired,0.0,0.55
51,2,paired,0.0,0.78958
51,3,paired,0.0,0.893941048
52,0,paired,0.0,0.0
52,1,paired,0.0,0.55
52,2,paired,0.0,0.78958
52,3,paired,0.0,0.893941048
53,0,paired,0.0,0.0
53,1,paired,0.0,0.55
53,2,paired,0.0,0.78958
53,3,paired,0.0,0.893941048
54,0,paired,0.0,0.0
54,1,paired,0.0,0.55
54,2,paired,0.0,0.78958
54,3,paired,0.0,0.893941048
55,0,paired,0.0,0.0
55,1,paired,0.0,0.55
55,2,paired,0.0,0.78958
55,3,paired,0.0,0.893941048
56,0,paired,0.0,0.0
56,1,paired,0.0,0.55
56,2,paired,0.0,0.78958
56,3,paired,0.0,0.893941048
57,0,paired,0.0,0.0
57,1,paired,0.0,0.55
57,2,paired,0.0,0.78958
57,3,paired,0.0,0.893941048
58,0,paired,0.0,0.0
58,1,paired,0.0,0.55
58,2,paired,0.0,0.78958
58,3,paired,0.0,0.893941048
59,0,paired,0.0,0.0
59,1,paired,0.0,0.55
59,2,paired,0.0,0.78958
59,3,paired,0.0,0.893941048
60,0,paired,0.0,0.0
60,1,paired,0.0,0.55
60,2,paired,0.0,0.78958
60,3,paired,0.0,0.893941048
61,0,paired,0.0,0.0
61,1,paired,0.0,0.55
61,2,paired,0.0,0.78958
61,3,paired,0.0,0.893941048
62,0,paired,0.0,0.0
62,1,paired,0.0,0.55
62,2,paired,0.0,0.78958
62,3,paired,0.0,0.893941048
63,0,paired,0.0,0.0
63,1,paired,0.0,0.55
63,2,paired,0.0,0.78958
63,3,paired,0.0,0.893941048
64,0,paired,0.0,0.0
64,1,paired,0.0,0.55
64,2,paired,0.0,0.78958
64,3,paired,0.0,0.893941048
65,0,paired,0.0,0.0
65,1,paired,0.0,0.55
65,2,paired,0.0,0.78958
65,3,paired,0.0,0.893941048
66,0,paired,0.0,0.0
66,1,paired,0.0,0.55
66,2,paired,0.0,0.78958
66,3,paired,0.0,0.893941048
67,0,paired,0.0,0.0
67,1,paired,0.0,0.55
67,2,paired,0.0,0.78958
67,3,paired,0.0,0.893941048
68,0,paired,0.0,0.0
68,1,paired,0.0,0.55
68,2,paired,0.0,0.78958
68,3,paired,0.0,0.893941048
69,0,paired,0.0,0.0
69,1,paired,0.0,0.55
69,2,paired,0.0,0.78958
69,3,paired,0.0,0.893941048
70,0,paired,0.0,0.0
70,1,paired,0.0,0.55
70,2,paired,0.0,0.78958
70,3,paired,0.0,0.893941048
71,0,paired,0.0,0.0
71,1,paired,0.0,0.55
71,2,paired,0.0,0.78958
71,3,paired,0.0,0.893941048
72,0,paired,0.0,0.0
72,1,paired,0.0,0.55
72,2,paired,0.0,0.78958
72,3,paired,0.0,0.893941048
73,0,paired,0.0,0.0
73,1,paired,0.0,0.55
73,2,paired,0.0,0.78958
73,3,paired,0.0,0.893941048
74,0,paired,0.0,0.0
74,1,paired,0.0,0.55
74,2,paired,0.0,0.78958
74,3,paired,0.0,0.893941048
75,0,paired,0.0,0.0
75,1,paired,0.0,0.55
75,2,paired,0.0,0.78958
75,3,paired,0.0,0.893941048
76,0,paired,0.0,0.0
76,1,paired,0.0,0.55
76,2,paired,0.0,0.78958
76,3,paired,0.0,0.893941048
77,0,paired,0.0,0.0
77,1,paired,0.0,0.55
77,2,paired,0.0,0.78958
77,3,paired,0.0,0.893941048
78,0,paired,0.0,0.0
78,1,paired,0.0,0.55
78,2,paired,0.0,0.78958
78,3,paired,0.0,0.893941048
79,0,paired,0.0,0.0
79,1,paired,0.0,0.55
79,2,paired,0.0,0.78958
79,3,paired,0.0,0.893941048
80,0,paired,0.0,0.0
80,1,paired,0.0,0.55
80,2,paired,0.0,0.78958
80,3,paired,0.0,0.893941048
81,0,paired,0.0,0.0
81,1,paired,0.0,0.55
81,2,paired,0.0,0.78958
81,3,paired,0.0,0.893941048
82,0,paired,0.0,0.0
82,1,paired,0.0,0.55
82,2,paired,0.0,0.78958
82,3,paired,0.0,0.893941048
83,0,paired,0.0,0.0
83,1,paired,0.0,0.55
83,2,paired,0.0,0.78958
83,3,paired,0.0,0.893941048
84,0,paired,0.0,0.0
84,1,paired,0.0,0.55
84,2,paired,0.0,0.78958
84,3,paired,0.0,0.893941048
85,0,paired,0.0,0.0
85,1,paired,0.0,0.55
85,2,paired,0.0,0.78958
85,3,paired,0.0,0.893941048
86,0,paired,0.0,0.0
86,1,paired,0.0,0.55
86,2,paired,0.0,0.78958
86,3,paired,0.0,0.893941048
87,0,paired,0.0,0.0
87,1,paired,0.0,0.55
87,2,paired,0.0,0.78958
87,3,paired,0.0,0.893941048
88,0,paired,0.0,0.0
88,1,paired,0.0,0.55
88,2,paired,0.0,0.78958
88,3,paired,0.0,0.893941048
89,0,paired,0.0,0.0
89,1,paired,0.0,0.55
89,2,paired,0.0,0.78958
89,3,paired,0.0,0.893941048
90,0,paired,0.0,0.0
90,1,paired,0.0,0.55
90,2,paired,0.0,0.78958
90,3,paired,0.0,0.893941048
91,0,paired,0.0,0.0
91,1,paired,0.0,0.55
91,2,paired,0.0,0.78958
91,3,paired,0.0,0.893941048
92,0,paired,0.0,0.0
92,1,paired,0.0,0.55
92,2,paired,0.0,0.78958
92,3,paired,0.0,0.893941048
93,0,paired,0.0,0.0
93,1,paired,0.0,0.55
93,2,paired,0.0,0.78958
93,3,paired,0.0,0.893941048
94,0,paired,0.0,0.0
94,1,paired,0.0,0.55
94,2,paired,0.0,0.78958
94,3,paired,0.0,0.893941048
95,0,paired,0.0,0.0
95,1,paired,0.0,0.55
95,2,paired,0.0,0.78958
95,3,paired,0.0,0.893941048
96,0,paired,0.0,0.0
96,1,paired,0.0,0.55
96,2,paired,0.0,0.78958
96,3,paired,0.0,0.893941048
97,0,paired,0.0,0.0
97,1,paired,0.0,0.55
97,2,paired,0.0,0.78958
97,3,paired,0.0,0.893941048
98,0,paired,0.0,0.0
98,1,paired,0.0,0.55
98,2,paired,0.0,0.78958
98,3,paired,0.0,0.893941048
99,0,paired,0.0,0.0
99,1,paired,0.0,0.55
99,2,paired,0.0,0.78958
99,3,paired,0.0,0.893941048
0,0,unpaired,0.0,0.0
0,1,unpaired,0.2936965318212284,0.25630346817877164
0,2,unpaired,0.38033068926373736,0.3407519104690321
0,3,unpaired,0.38145551140285083,0.39342530960609445
1,0,unpaired,0.0,0.0
1,1,unpaired,0.2464283489462237,0.30357165105377637
1,2,unpaired,0.34602626481313004,0.3752092292671239
1,3,unpaired,0.3898732383957396,0.38489087095680163
2,0,unpaired,0.0,0.0
2,1,unpaired,0.29676375784238324,0.2532362421576168
2,2,unpaired,0.3679531005419345,0.3533919369975349
2,3,unpaired,0.4010892350218846,0.37349635540171033
3,0,unpaired,0.0,0.0
3,1,unpaired,0.2969778503757204,0.25302214962427966
3,2,unpaired,0.3525743118006198,0.3691111121985578
3,3,unpaired,0.37803883013943906,0.3966837743946161
4,0,unpaired,0.0,0.0
4,1,unpaired,0.296917705833968,0.25308229416603206
4,2,unpaired,0.35801138090862783,0.36355332867490625
4,3,unpaired,0.3733966189638557,0.40130105388000675
5,0,unpaired,0.0,0.0
5,1,unpaired,0.2848138220641027,0.2651861779358973
5,2,unpaired,0.3717461972776034,0.3494864935636878
5,3,unpaired,0.3760190602686281,0.39879789989354264
6,0,unpaired,0.0,0.0
6,1,unpaired,0.2623972708759869,0.2876027291240132
6,2,unpaired,0.35849124912793523,0.3628490612317886
6,3,unpaired,0.37710971380611186,0.39753372813555987
7,0,unpaired,0.0,0.0
7,1,unpaired,0.24712513994207205,0.30287486005792796
7,2,unpaired,0.3300268780363766,0.390766058859148
7,3,unpaired,0.3491112053157666,0.42460765246882975
8,0,unpaired,0.0,0.0
8,1,unpaired,0.2564115136046558,0.29358848639534424
8,2,unpaired,0.3712126912473871,0.35042547911515765
8,3,unpaired,0.3933570182509809,0.38138391368468727
9,0,unpaired,0.0,0.0
9,1,unpaired,0.27138428572076634,0.27861571427923365
9,2,unpaired,0.35850095961944817,0.3627966340107598
9,3,unpaired,0.38216792737580496,0.3924737102260386
10,0,unpaired,0.0,0.0
10,1,unpaired,0.30027768938755933,0.2497223106124407
10,2,unpaired,0.36272536658077054,0.358797826576829
10,3,unpaired,0.4054853014025608,0.369200874133085
11,0,unpaired,0.0,0.0
11,1,unpaired,0.28347495770335085,0.2665250422966492
11,2,unpaired,0.3522836876301366,0.369117249900739
11,3,unpaired,0.38563917267034614,0.38906072804295644
12,0,unpaired,0.0,0.0
12,1,unpaired,0.2728690496073475,0.27713095039265256
