model,aversive_tau_h,consolidation_tau_h,aversive_scale,early_value,late_value,loss,regularizer
consolidating,4.0,24.0,4.0,-1.1980775759554203,0.25261622506963494,0.0,5.0
consolidating,8.0,6.0,0.5,-0.06530527243748446,0.38331088499848265,0.0,3.0
consolidating,8.0,6.0,1.0,-0.24745208410592995,0.37365745763569336,0.0,2.0
consolidating,8.0,6.0,2.0,-0.6117457074428209,0.3543506029101147,0.0,3.0
consolidating,8.0,6.0,4.0,-1.3403329541166027,0.31573689345895745,0.0,6.0
consolidating,8.0,12.0,0.5,-0.11905774538103481,0.33676361330727506,0.0,2.0
consolidating,8.0,12.0,1.0,-0.30120455704948024,0.3271101859444857,0.0,1.0
consolidating,8.0,12.0,2.0,-0.6654981803863711,0.30780333121890713,0.0,2.0
consolidating,8.0,12.0,4.0,-1.3940854270601528,0.2691896217677499,0.0,5.0
consolidating,8.0,24.0,0.5,-0.1493210998007325,0.24642015171570558,0.0,3.0
consolidating,8.0,24.0,1.0,-0.3314679114691779,0.23676672435291632,0.0,2.0
consolidating,8.0,24.0,2.0,-0.695761534806069,0.21745986962733768,0.0,3.0
consolidating,8.0,24.0,4.0,-1.4243487814798506,0.1788461601761804,0.0,6.0
cascade,2.0,6.0,0.5,-0.09261352407395308,0.3787838086713444,0.0,3.0
cascade,2.0,6.0,1.0,-0.20633184269881194,0.37878291151058996,0.0,2.0
cascade,2.0,6.0,2.0,-0.4337684799485297,0.37878111718908103,0.0,3.0
cascade,2.0,6.0,4.0,-0.8886417544479651,0.3787775285460634,0.0,6.0
cascade,2.0,12.0,0.5,-0.1077032050151708,0.25372097174670016,0.0,2.0
cascade,2.0,12.0,1.0,-0.22142152364002968,0.25372007458594575,0.0,1.0
cascade,2.0,12.0,2.0,-0.4488581608897474,0.2537182802644369,0.0,2.0
cascade,2.0,12.0,4.0,-0.903731435389183,0.25371469162141913,0.0,5.0
cascade,2.0,24.0,0.5,-0.11211041933814624,0.11550941083892152,0.0,3.0
cascade,2.0,24.0,1.0,-0.22582873796300512,0.11550851367816707,0.0,2.0
cascade,2.0,24.0,2.0,-0.45326537521272287,0.11550671935665822,0.0,3.0
cascade,2.0,24.0,4.0,-0.9081386497121583,0.1155031307136405,0.0,6.0
cascade,4.0,6.0,0.5,-0.13275811642698587,0.37835253658099127,0.0,2.0
cascade,4.0,6.0,1.0,-0.28662102740487755,0.3779203673298839,0.0,1.0
cascade,4.0,6.0,2.0,-0.5943468493606608,0.37705602882766887,0.0,2.0
cascade,4.0,6.0,4.0,-1.2097984932722274,0.37532735182323884,0.0,5.0
cascade,4.0,12.0,0.5,-0.1478477973682036,0.25328969965634707,0.0,1.0
cascade,4.0,12.0,1.0,-0.30171070834609526,0.2528575304052396,0.0,0.0
cascade,4.0,12.0,2.0,-0.6094365303018786,0.2519931919030246,0.0,1.0
cascade,4.0,12.0,4.0,-1.2248881742134452,0.25026451489859464,0.0,4.0
cascade,4.0,24.0,0.5,-0.15225501169117905,0.11507813874856847,0.0,2.0
cascade,4.0,24.0,1.0,-0.3061179226690707,0.11464596949746098,0.0,1.0
cascade,4.0,24.0,2.0,-0.613843744624854,0.11378163099524596,0.0,2.0
cascade,4.0,24.0,4.0,-1.2292953885364206,0.11205295399081597,0.0,5.0
cascade,8.0,6.0,0.5,-0.16104201711753965,0.3691312784693095,0.0,3.0
cascade,8.0,6.0,1.0,-0.3431888287859851,0.3594778511065202,0.0,2.0
cascade,8.0,6.0,2.0,-0.707482452122876,0.34017099638094156,0.0,3.0
cascade,8.0,6.0,4.0,-1.4360696987966577,0.3015572869297843,0.0,6.0
cascade,8.0,12.0,0.5,-0.1761316980587574,0.24406844154466528,0.0,2.0
cascade,8.0,12.0,1.0,-0.3582785097272028,0.23441501418187596,0.0,1.0
cascade,8.0,12.0,2.0,-0.7225721330640937,0.21510815945629735,0.0,2.0
cascade,8.0,12.0,4.0,-1.4511593797378755,0.17649445000514005,0.0,5.0
cascade,8.0,24.0,0.5,-0.18053891238173284,0.10585688063688664,0.0,3.0
cascade,8.0,24.0,1.0,-0.36268572405017824,0.09620345327409734,0.0,2.0
cascade,8.0,24.0,2.0,-0.726979347387069,0.0768965985485187,0.0,3.0
cascade,8.0,24.0,4.0,-1.4555665940608509,0.03828288909736143,0.00013729068790473167,6.0
