condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
dan_silenced,82,A,True,1.2292,29.724861810171454,right,1045761623,2891344451,17.213675899031205,2.5008823532553377,0.0,0.5781839811403487,False,12292,423
dan_silenced,83,A,True,0.863,21.077055036468344,left,129141916,874976044,12.001255867646753,-2.926591612703453,0.0,0.562901097093775,False,8630,387
dan_silenced,84,A,True,1.3923,33.4558119118425,right,1358304359,2431437251,19.86467697814428,2.5008074256186954,0.0,0.5597194534168044,False,13923,440
dan_silenced,85,B,True,0.8899,21.69532800054421,right,1160040151,1246620523,12.00150049829892,-3.70465777486056,0.0,0.5472199309224407,False,8899,389
dan_silenced,86,A,True,1.0288000000000002,24.987769285383877,left,3319902823,1794939957,14.555889233472408,-2.500058176130409,0.0,0.5741763234784927,False,10288,403
dan_silenced,87,B,True,1.7737,42.42893597299852,right,1520562430,4263963038,25.385159190867896,-2.501962954457205,0.0,0.532677521626106,False,17737,478
dan_silenced,88,B,True,0.9239,22.434293807181884,right,1977745978,2277999520,12.672353990385927,-2.5007296392992426,0.0,0.5833393351458466,False,9239,393
dan_silenced,89,A,True,0.8607,21.042140744374922,left,2865872142,1793865271,12.00116761754539,-2.703525262468366,0.0,0.5555060241427273,False,8607,387
dan_silenced,90,A,True,1.1937,28.834568379854023,left,3272529857,3987542055,16.98754001880895,-2.5001428476899923,0.0,0.5789711386701545,False,11937,420
dan_silenced,91,B,True,0.8702000000000001,21.30632566839524,right,3267188114,459195337,12.000356185748938,-3.433767869337359,0.0,0.5799439559761485,False,8702,388
dan_silenced,92,B,True,0.8605,21.161668232690985,right,2665928188,1979079933,12.001115056590077,-2.5730712307546333,0.0,0.5609998786515594,False,8605,387
dan_silenced,93,A,True,0.8982,21.97131826800493,right,3587363441,3826631231,12.214920873442171,2.5030378369400688,0.0,0.5589198135368019,False,8982,390
dan_silenced,94,B,True,0.8934000000000001,21.76416964439042,right,366268514,3484850979,12.001173387093704,-3.865730439843754,0.0,0.5687209835757001,False,8934,390
dan_silenced,95,none,False,,47.69569546714764,right,441034353,3911080589,27.800602830080027,-2.4144967688914316,0.0,0.5788117415004493,False,20000,500
dan_silenced,96,A,True,1.441,34.57110649041563,left,1514530970,2063034652,20.471048402689586,-2.502252529386051,0.0,0.5213664486318775,False,14410,445
dan_silenced,97,B,True,1.185,28.55581245379619,right,801634323,869938001,16.607550682018275,-2.5021125263996065,0.0,0.5312159920359546,False,11850,419
dan_silenced,98,B,True,0.9217000000000001,22.346606270594037,right,3748907106,411485570,12.8377018541494,-2.5010273406853907,0.0,0.5398923653076194,False,9217,393
dan_silenced,99,none,False,,47.5139422143062,right,2992951274,3925740632,28.238423364041175,-0.03783591917051683,0.0,0.5458431038198873,False,20000,500
paired,0,B,True,0.8779,21.457817953585494,right,3329053876,3645748255,12.001082369111975,-2.7656876478836834,0.0,0.555733971191482,False,8779,388
paired,1,B,True,0.9005000000000001,22.065575983190108,right,2134191843,3792606954,12.00148534345734,-4.141259066852211,0.0,0.5372747851975769,False,9005,391
paired,2,B,True,0.8926000000000001,21.804636952822793,right,2436437895,1151155471,12.00189128834472,-3.9875152196519026,0.0,0.544927240896571,False,8926,390
